,ean,ctr
331,05909991385682,0
332,05909991205324,0
333,05909991205355,0
334,05909991205423,0
335,05909991229696,0
336,05909991229733,0
337,05909991236946,0
338,05909991236953,0
339,05909991412173,0
340,05909991412241,0
341,05909991394738,0
342,05909991394776,0
343,05909991393380,0
344,05909991393601,0
345,05909991393496,0
346,05909991393717,0
347,05909991390938,0
348,05909991390952,0
349,05909991390976,0
350,05909991390990,0
351,05909991124618,0
352,05907695215137,0
353,05907695215359,0
354,05909991124717,0
355,05907695215144,0
356,05907695215366,0
357,05909991124816,0
358,05907695215151,0
359,05907695215373,0
360,05909990787586,0
361,05909990787609,0
362,05909990787647,0
363,05909990991815,0
364,05909990336647,0
365,05909990991914,0
366,05909991013806,0
367,05909990419173,0
368,05909990885282,0
369,05909990885299,0
370,05909990623464,0
371,05909990623471,0
372,05909990623488,0
373,05909990885336,0
374,05909990885374,0
375,05909990938926,0
376,05909990938995,0
377,05909991321611,0
378,05909991321659,0
379,05909991321710,0
380,05909991382896,0
381,05909991382902,0
382,07311920002252,0
383,05909991382919,0
384,05909991382926,0
385,07311920002276,0
386,07311920002269,0
387,05909991382933,0
388,05909991382940,0
389,05909990900053,0
390,05909990899920,0
391,05909990899951,0
392,05909990899975,0
393,05909990900275,0
394,05909990900305,0
395,05909990900336,0
396,05909990900459,0
397,05909990077847,0
398,05909990077939,0
399,05909990078028,0
400,05909991041298,0
401,05909990573400,0
402,05909990573530,0
403,05909990573547,0
404,05909990078141,0
405,05909990078264,0
406,05909990078356,0
407,05909991011383,0
408,05909990905508,0
409,05909990905539,0
410,05909990905553,0
411,05909990905638,0
412,05909990905652,0
413,05909990905676,0
414,05909990905782,0
415,05909990905805,0
416,05909990905867,0
417,05909990078707,0
418,05909991042097,0
419,05909991042103,0
420,05909991415976,0
421,05909991042134,0
422,05909991419042,0
423,05909991042141,0
424,05909990957071,0
425,05909990338290,0
426,05909990338368,0
427,05909990338436,0
428,05909990338443,0
429,05909990053179,0
430,05909990053230,0
431,05909990053278,0
432,05909990998814,0
433,05909990998821,0
434,05909990998838,0
435,05909990998913,0
436,05909990998920,0
437,05909990998937,0
438,05909990810161,0
439,05909990810178,0
440,05909990810185,0
441,05909990810208,0
442,05909991403911,0
443,05909991403935,0
444,05909991403997,0
445,05909990243112,0
446,05909990232826,0
448,05909990232819,0
450,05909990277810,0
452,05909991054816,0
453,05909991034412,0
454,05909991035518,0
455,05909990969876,0
456,05909990635320,0
457,05909990635337,0
458,05909990635344,0
459,05907626702682,0
460,05909997214023,0
461,05909997223537,0
462,05909990573738,0
463,05909997214030,0
464,05909997223551,0
465,05909990573752,0
466,05909991087319,0
467,05909990073566,0
468,05909990073573,0
469,05909991098421,0
470,05909991098520,0
471,05909990713608,0
472,05909991108830,0
473,05909990742110,0
474,05909990846214,0
475,05909990742318,0
476,05909990742417,0
477,05909990742219,0
478,05909990742226,0
479,08025153008156,0
480,05909990054152,0
481,05909991245696,0
482,05909990118915,0
483,05909990119011,0
484,05909990118816,0
485,05909990363216,0
486,05909991254995,0
487,05909991254988,0
488,05909990121625,0
